Account Number,Name,Income,Expenditure,Savings,Password
987654324,birender mandal,75551,57880,17671,4324
987654324,birender mandal,71833,69420,2413,4324
987654324,birender mandal,32156,30500,1656,4324
987654324,birender mandal,40538,19250,21288,4324
987654324,birender mandal,39548,24110,15438,4324
987654324,birender mandal,55432,17980,37452,4324
987654324,birender mandal,36281,12020,24261,4324
987654324,birender mandal,46104,37870,8234,4324
987654324,birender mandal,33806,29120,4686,4324
987654324,birender mandal,54508,38990,15518,4324
987654324,birender mandal,59161,32380,26781,4324
987654324,birender mandal,78532,35140,43392,4324
987654324,birender mandal,72339,69350,2989,4324
987654324,birender mandal,76497,52280,24217,4324
987654324,birender mandal,29362,22640,6722,4324
987654324,birender mandal,42144,18520,23624,4324
987654324,birender mandal,41803,20650,21153,4324
987654324,birender mandal,58424,51580,6844,4324
987654325,amit,50548,23790,26758,4325
987654325,amit,48986,43480,5506,4325
987654325,amit,67928,35010,32918,4325
987654325,amit,71283,54430,16853,4325
987654325,amit,111257,52890,58367,4325
987654325,amit,96143,94050,2093,4325
987654325,amit,33201,19140,14061,4325
987654325,amit,41880,16290,25590,4325
987654325,amit,43112,37690,5422,4325
987654325,amit,56730,55780,950,4325
987654325,amit,48876,27880,20996,4325
987654325,amit,46093,34270,11823,4325
987654325,amit,32222,18440,13782,4325
987654325,amit,52429,31110,21319,4325
987654325,amit,63187,28010,35177,4325
987654325,amit,77454,48500,28954,4325
987654325,amit,71107,60360,10747,4325
987654325,amit,79379,74840,4539,4325
987654325,amit,30913,28180,2733,4325
987654325,amit,37810,10950,26860,4325
987654325,amit,44795,14860,29935,4325
987654325,amit,54519,36950,17569,4325
987654325,amit,45125,34840,10285,4325
987654325,amit,43717,16500,27217,4325
987654326,kushal,35401,17600,17801,4326
987654326,kushal,53133,46160,6973,4326
987654326,kushal,60932,33630,27302,4326
987654326,kushal,71338,25770,45568,4326
987654326,kushal,72790,68520,4270,4326
987654326,kushal,78851,49220,29631,4326
987654326,kushal,33432,21560,11872,4326
987654326,kushal,44322,42060,2262,4326
987654326,kushal,44465,25160,19305,4326
987654326,kushal,51406,42180,9226,4326
987654326,kushal,41385,33560,7825,4326
987654326,kushal,40043,39580,463,4326
987654326,kushal,33135,20590,12545,4326
987654326,kushal,52077,40510,11567,4326
987654326,kushal,64342,38880,25462,4326
987654326,kushal,68038,66080,1958,4326
987654326,kushal,67323,41710,25613,4326
987654326,kushal,82338,75810,6528,4326
987654326,kushal,30979,13790,17189,4326
987654326,kushal,40197,19280,20917,4326
987654326,kushal,41495,16480,25015,4326
987654326,kushal,52583,19070,33513,4326
987654326,kushal,51263,36140,15123,4326
987654326,kushal,40538,19990,20548,4326
987654327,kasid,25765,6690,19075,4327
987654327,kasid,57940,29690,28250,4327
987654327,kasid,58105,54880,3225,4327
987654327,kasid,70535,46480,24055,4327
987654327,kasid,75287,65480,9807,4327
987654327,kasid,89785,28580,61205,4327
987654327,kasid,33817,23390,10427,4327
987654327,kasid,65189,43650,21539,4327
987654327,kasid,52605,43720,8885,4327
987654327,kasid,66432,21450,44982,4327
987654327,kasid,57918,30490,27428,4327
987654327,kasid,65321,64420,901,4327
987654327,kasid,28405,25730,2675,4327
987654327,kasid,35346,8900,26446,4327
987654327,kasid,41088,40170,918,4327
987654327,kasid,49844,32510,17334,4327
987654327,kasid,43585,33070,10515,4327
987654327,kasid,44982,12520,32462,4327
987654327,kasid,31793,23850,7943,4327
987654327,kasid,60096,15100,44996,4327
987654327,kasid,63990,37380,26610,4327
987654327,kasid,70106,35840,34266,4327
987654327,kasid,70964,45050,25914,4327
987654327,kasid,79687,42820,36867,4327
987654328,shiv prakash,33344,13950,19394,4328
987654328,shiv prakash,52462,48820,3642,4328
987654328,shiv prakash,57786,45240,12546,4328
987654328,shiv prakash,65475,48190,17285,4328
987654328,shiv prakash,73736,45610,28126,4328
987654328,shiv prakash,80468,57480,22988,4328
987654328,shiv prakash,34532,22960,11572,4328
987654328,shiv prakash,45587,18570,27017,4328
987654328,shiv prakash,25039,12370,12669,4328
987654328,shiv prakash,60723,28830,31893,4328
987654328,shiv prakash,66069,65560,509,4328
987654328,shiv prakash,43354,26010,17344,4328
987654328,shiv prakash,26887,21510,5377,4328
987654328,shiv prakash,83207,47080,36127,4328
987654328,shiv prakash,99377,36500,62877,4328
987654328,shiv prakash,50163,36690,13473,4328
987654328,shiv prakash,83394,65560,17834,4328
987654328,shiv prakash,89367,49960,39407,4328
987654328,shiv prakash,103095,81680,21415,4328
987654328,shiv prakash,104569,52910,51659,4328
987654328,shiv prakash,114689,69470,45219,4328
987654328,shiv prakash,37205,14740,22465,4328
987654328,shiv prakash,48557,34590,13967,4328
987654328,shiv prakash,50999,41880,9119,4328
987654329,vikram singh,64210,32370,31840,4329
987654329,vikram singh,57984,45650,12334,4329
987654329,vikram singh,53111,20780,32331,4329
987654329,vikram singh,32134,18470,13664,4329
987654329,vikram singh,70315,70240,75,4329
987654329,vikram singh,73351,54260,19091,4329
987654329,vikram singh,82943,56230,26713,4329
987654329,vikram singh,84384,26620,57764,4329
987654329,vikram singh,95494,35950,59544,4329
987654329,vikram singh,37744,35620,2124,4329
987654329,vikram singh,66762,64170,2592,4329
987654329,vikram singh,67389,36070,31319,4329
987654329,vikram singh,83548,57040,26508,4329
987654329,vikram singh,71701,58740,12961,4329
987654329,vikram singh,77498,30990,46508,4329
987654329,vikram singh,34015,15900,18115,4329
987654329,vikram singh,43838,27490,16348,4329
987654329,vikram singh,49877,27740,22137,4329
987654329,vikram singh,56081,42400,13681,4329
987654329,vikram singh,38228,17540,20688,4329
987654329,vikram singh,45807,34970,10837,4329
987654329,vikram singh,32849,20550,12299,4329
987654329,vikram singh,51285,39650,11635,4329
987654329,vikram singh,55179,29980,25199,4329
987654330,sanjay,75078,46150,28928,4330
987654330,sanjay,62241,27140,35101,4330
987654330,sanjay,70733,63810,6923,4330
987654330,sanjay,36501,30320,6181,4330
987654330,sanjay,59975,38610,21365,4330
987654330,sanjay,69457,63180,6277,4330
987654330,sanjay,78642,70000,8642,4330
987654330,sanjay,77245,74920,2325,4330
987654330,sanjay,83119,54290,28829,4330
987654330,sanjay,36435,34800,1635,4330
987654330,sanjay,59414,31500,27914,4330
987654330,sanjay,54926,46290,8636,4330
987654330,sanjay,42419,22260,20159,4330
987654330,sanjay,47336,19610,27726,4330
987654330,sanjay,28042,25970,2072,4330
987654330,sanjay,56136,35490,20646,4330
987654330,sanjay,63099,45490,17609,4330
987654330,sanjay,57951,32340,25611,4330
987654330,sanjay,59282,55650,3632,4330
987654330,sanjay,73021,24330,48691,4330
987654330,sanjay,28823,14670,14153,4330
987654330,sanjay,42452,37670,4782,4330
987654330,sanjay,47248,19510,27738,4330
987654330,sanjay,52132,41240,10892,4330
987654331,abhi,43882,29470,14412,4331
987654331,abhi,48227,43950,4277,4331
987654331,abhi,27547,12080,15467,4331
987654331,abhi,54057,18140,35917,4331
987654331,abhi,58193,33500,24693,4331
987654331,abhi,68852,65390,3462,4331
987654331,abhi,63968,40570,23398,4331
987654331,abhi,83262,76890,6372,4331
987654331,abhi,32849,26530,6319,4331
987654331,abhi,29659,10730,18929,4331
987654331,abhi,53375,32550,20825,4331
987654331,abhi,61295,58470,2825,4331
987654331,abhi,93151,76230,16921,4331
987654331,abhi,82734,66230,16504,4331
987654331,abhi,30055,24130,5925,4331
987654331,abhi,39493,29300,10193,4331
987654331,abhi,43101,22240,20861,4331
987654331,abhi,56004,33620,22384,4331
987654331,abhi,42694,18790,23904,4331
987654331,abhi,44124,11800,32324,4331
987654331,abhi,27283,23950,3333,4331
987654331,abhi,49481,15160,34321,4331
987654331,abhi,55014,27870,27144,4331
987654331,abhi,71239,61910,9329,4331
987654332,ram dutt gupta,68357,46170,22187,4332
987654332,ram dutt gupta,77047,45550,31497,4332
987654332,ram dutt gupta,28603,14240,14363,4332
987654332,ram dutt gupta,36633,11300,25333,4332
987654332,ram dutt gupta,45433,28250,17183,4332
987654332,ram dutt gupta,53595,48050,5545,4332
987654332,ram dutt gupta,54673,35510,19163,4332
987654332,ram dutt gupta,46159,40000,6159,4332
987654332,ram dutt gupta,28141,13280,14861,4332
987654332,ram dutt gupta,53133,29320,23813,4332
987654332,ram dutt gupta,59491,22170,37321,4332
987654332,ram dutt gupta,72845,39220,33625,4332
987654332,ram dutt gupta,70722,22000,48722,4332
987654332,ram dutt gupta,89983,32130,57853,4332
987654332,ram dutt gupta,32816,12970,19846,4332
987654332,ram dutt gupta,47578,42770,4808,4332
987654332,ram dutt gupta,40967,29910,11057,4332
987654332,ram dutt gupta,56477,42410,14067,4332
987654332,ram dutt gupta,40197,36070,4127,4332
987654332,ram dutt gupta,43277,20280,22997,4332
987654332,ram dutt gupta,30198,27460,2738,4332
987654332,ram dutt gupta,55784,15460,40324,4332
987654332,ram dutt gupta,61966,38470,23496,4332
987654332,ram dutt gupta,77696,22690,55006,4332
987654333,khadak singh,66080,28730,37350,4333
987654333,khadak singh,69985,62160,7825,4333
987654333,khadak singh,31397,17750,13647,4333
987654333,khadak singh,46478,25740,20738,4333
987654333,khadak singh,50746,22370,28376,4333
987654333,khadak singh,55190,14650,40540,4333
987654333,khadak singh,47589,42750,4839,4333
987654333,khadak singh,45818,26080,19738,4333
987654333,khadak singh,28592,23460,5132,4333
987654333,khadak singh,50647,43760,6887,4333
987654333,khadak singh,52979,52890,89,4333
987654333,khadak singh,69721,22060,47661,4333
987654333,khadak singh,64001,30250,33751,4333
987654333,khadak singh,69545,35940,33605,4333
987654333,khadak singh,36974,35880,1094,4333
987654333,khadak singh,59854,32620,27234,4333
987654333,khadak singh,69391,20840,48551,4333
987654333,khadak singh,69468,52530,16938,4333
987654333,khadak singh,58094,52570,5524,4333
987654333,khadak singh,71514,33160,38354,4333
987654333,khadak singh,24753,9250,15503,4333
987654333,khadak singh,43596,24620,18976,4333
987654333,khadak singh,42826,31220,11606,4333
987654333,khadak singh,56752,55020,1732,4333
987654334,gurmit singh,49679,20100,29579,4334
987654334,gurmit singh,41902,17580,24322,4334
987654334,gurmit singh,33179,20720,12459,4334
987654334,gurmit singh,54761,15060,39701,4334
987654334,gurmit singh,58545,23150,35395,4334
987654334,gurmit singh,78323,43520,34803,4334
987654334,gurmit singh,70051,61960,8091,4334
987654334,gurmit singh,77234,76040,1194,4334
987654334,gurmit singh,30946,11330,19616,4334
987654334,gurmit singh,37502,31780,5722,4334
987654334,gurmit singh,50207,38180,12027,4334
987654334,gurmit singh,50702,48630,2072,4334
987654334,gurmit singh,44179,26200,17979,4334
987654334,gurmit singh,43871,19800,24071,4334
987654334,gurmit singh,44553,34720,9833,4334
987654334,gurmit singh,57280,39730,17550,4334
987654334,gurmit singh,64144,55410,8734,4334
987654334,gurmit singh,72933,67060,5873,4334
987654334,gurmit singh,60074,53170,6904,4334
987654334,gurmit singh,117582,54740,62842,4334
987654334,gurmit singh,29164,15630,13534,4334
987654334,gurmit singh,51186,27520,23666,4334
987654334,gurmit singh,46445,33650,12795,4334
987654334,gurmit singh,52517,19350,33167,4334
987654335,chanderpal,41737,13590,28147,4335
987654335,chanderpal,44806,44700,106,4335
987654335,chanderpal,27734,25650,2084,4335
987654335,chanderpal,50372,21190,29182,4335
987654335,chanderpal,60041,32760,27281,4335
987654335,chanderpal,69380,62870,6510,4335
987654335,chanderpal,64210,37090,27120,4335
987654335,chanderpal,81414,69840,11574,4335
987654335,chanderpal,31947,8670,23277,4335
987654335,chanderpal,50328,29010,21318,4335
987654335,chanderpal,57137,48250,8887,4335
987654335,chanderpal,54816,15590,39226,4335
987654335,chanderpal,48513,39370,9143,4335
987654335,chanderpal,31903,31550,353,4335
987654335,chanderpal,55784,42720,13064,4335
987654335,chanderpal,65607,44130,21477,4335
987654335,chanderpal,77146,69360,7786,4335
987654335,chanderpal,61889,61450,439,4335
987654335,chanderpal,80600,28830,51770,4335
987654335,chanderpal,32563,24370,8193,4335
987654335,chanderpal,62714,18140,44574,4335
987654335,chanderpal,57313,48500,8813,4335
987654335,chanderpal,44542,42130,2412,4335
987654335,chanderpal,45983,44200,1783,4335
987654336,aman,27756,11140,16616,4336
987654336,aman,52902,46950,5952,4336
987654336,aman,53837,34010,19827,4336
987654336,aman,61504,16460,45044,4336
987654336,aman,56785,22240,34545,4336
987654336,aman,77036,59630,17406,4336
987654336,aman,27932,18040,9892,4336
987654336,aman,41649,16620,25029,4336
987654336,aman,45268,28290,16978,4336
987654336,aman,51780,30350,21430,4336
987654336,aman,43794,37490,6304,4336
987654336,aman,42540,17550,24990,4336
987654336,aman,26810,9260,17550,4336
987654336,aman,65849,60320,5529,4336
987654336,aman,56741,52410,4331,4336
987654336,aman,74143,60350,13793,4336
987654336,aman,65992,36930,29062,4336
987654336,aman,79742,56320,23422,4336
987654336,aman,32728,11620,21108,4336
987654336,aman,79016,21240,57776,4336
987654336,aman,84186,73670,10516,4336
987654336,aman,73417,70260,3157,4336
987654336,aman,71800,39150,32650,4336
987654336,aman,29791,13670,16121,4336
987654337,khursid,41825,11530,30295,4337
987654337,khursid,40505,35510,4995,4337
987654337,khursid,52407,32930,19477,4337
987654337,khursid,48689,41580,7109,4337
987654337,khursid,45686,33200,12486,4337
987654337,khursid,73197,39250,33947,4337
987654337,khursid,80567,27300,53267,4337
987654337,khursid,84791,54750,30041,4337
987654337,khursid,84934,68680,16254,4337
987654337,khursid,28394,23030,5364,4337
987654337,khursid,51791,38880,12911,4337
987654337,khursid,40681,27770,12911,4337
987654337,khursid,56642,39890,16752,4337
987654337,khursid,49305,37190,12115,4337
987654337,khursid,43431,32970,10461,4337
987654337,khursid,29285,27970,1315,4337
987654337,khursid,55256,19990,35266,4337
987654337,khursid,55938,31400,24538,4337
987654337,khursid,77223,46980,30243,4337
987654337,khursid,53562,21710,31852,4337
987654337,khursid,109068,60370,48698,4337
987654337,khursid,31045,9520,21525,4337
987654337,khursid,48579,47430,1149,4337
987654337,khursid,47930,24480,23450,4337
987654338,rajeev,55729,52990,2739,4338
987654338,rajeev,45026,40690,4336,4338
987654338,rajeev,42903,13570,29333,4338
987654338,rajeev,28339,15280,13059,4338
987654338,rajeev,55003,43790,11213,4338
987654338,rajeev,54530,40170,14360,4338
987654338,rajeev,69105,49610,19495,4338
987654338,rajeev,63935,34670,29265,4338
987654338,rajeev,77674,51010,26664,4338
987654338,rajeev,29538,7400,22138,4338
987654338,rajeev,36611,19830,16781,4338
987654338,rajeev,45972,28630,17342,4338
987654338,rajeev,50471,29380,21091,4338
987654338,rajeev,39405,11790,27615,4338
987654338,rajeev,41869,31420,10449,4338
987654338,rajeev,31573,27490,4083,4338
987654338,rajeev,58105,29200,28905,4338
987654338,rajeev,56983,39290,17693,4338
987654338,rajeev,74220,31320,42900,4338
987654338,rajeev,66146,53920,12226,4338
987654338,rajeev,80732,36310,44422,4338
987654338,rajeev,36930,34860,2070,4338
987654338,rajeev,48480,29800,18680,4338
987654338,rajeev,44058,43360,698,4338
987654339,durgesh,50108,27010,23098,4339
987654339,durgesh,38800,17630,21170,4339
987654339,durgesh,42914,13290,29624,4339
987654339,durgesh,28273,24390,3883,4339
987654339,durgesh,52770,23340,29430,4339
987654339,durgesh,54651,19530,35121,4339
987654339,durgesh,70689,39290,31399,4339
987654339,durgesh,65849,62640,3209,4339
987654339,durgesh,83504,38780,44724,4339
987654339,durgesh,27679,13090,14589,4339
987654339,durgesh,47644,35400,12244,4339
987654339,durgesh,45961,12290,33671,4339
987654339,durgesh,53408,17660,35748,4339
987654339,durgesh,44696,14280,30416,4339
987654339,durgesh,44146,11680,32466,4339
987654339,durgesh,27404,20950,6454,4339
987654339,durgesh,53408,26700,26708,4339
987654339,durgesh,66212,37850,28362,4339
987654339,durgesh,79258,35650,43608,4339
987654339,durgesh,77476,32380,45096,4339
987654339,durgesh,81172,78610,2562,4339
987654339,durgesh,32299,21650,10649,4339
987654339,durgesh,50768,49090,1678,4339
987654339,durgesh,46434,37960,8474,4339
987654340,nahar singh,47292,37210,10082,4340
987654340,nahar singh,40527,29510,11017,4340
987654340,nahar singh,40868,25070,15798,4340
987654340,nahar singh,25094,6660,18434,4340
987654340,nahar singh,51791,32490,19301,4340
987654340,nahar singh,55190,31650,23540,4340
987654340,nahar singh,60041,56640,3401,4340
987654340,nahar singh,72284,68870,3414,4340
987654340,nahar singh,77982,50170,27812,4340
987654340,nahar singh,27547,11590,15957,4340
987654340,nahar singh,42628,19410,23218,4340
987654340,nahar singh,44058,42600,1458,4340
987654340,nahar singh,54189,50240,3949,4340
987654340,nahar singh,46225,37490,8735,4340
987654340,nahar singh,47270,18660,28610,4340
987654340,nahar singh,31672,31110,562,4340
987654340,nahar singh,56686,48950,7736,4340
987654340,nahar singh,66971,21680,45291,4340
987654340,nahar singh,72647,45740,26907,4340
987654340,nahar singh,72317,42610,29707,4340
987654340,nahar singh,91567,72850,18717,4340
987654340,nahar singh,30440,23780,6660,4340
987654340,nahar singh,52902,17180,35722,4340
987654340,nahar singh,41429,38700,2729,4340
987654341,ram kumar,23708,6470,17238,4341
987654341,ram kumar,82888,71990,10898,4341
987654341,ram kumar,39251,32840,6411,4341
987654341,ram kumar,61482,32530,28952,4341
987654341,ram kumar,26557,24650,1907,4341
987654341,ram kumar,95120,30120,65000,4341
987654341,ram kumar,54431,47500,6931,4341
987654341,ram kumar,83394,65150,18244,4341
987654341,ram kumar,94229,43410,50819,4341
987654341,ram kumar,110289,79000,31289,4341
987654341,ram kumar,114194,109930,4264,4341
987654341,ram kumar,115349,93190,22159,4341
987654341,ram kumar,35676,23380,12296,4341
987654341,ram kumar,52968,50790,2178,4341
987654341,ram kumar,57632,32790,24842,4341
987654341,ram kumar,66652,41050,25602,4341
987654341,ram kumar,55014,20840,34174,4341
987654341,ram kumar,48392,44630,3762,4341
987654341,ram kumar,27954,25200,2754,4341
987654341,ram kumar,53056,49580,3476,4341
987654341,ram kumar,78873,43370,35503,4341
987654341,ram kumar,90302,57640,32662,4341
987654341,ram kumar,89587,39880,49707,4341
987654341,ram kumar,97276,33250,64026,4341
987654342,sunder paal,36853,33120,3733,4342
987654342,sunder paal,55377,39420,15957,4342
987654342,sunder paal,56719,29180,27539,4342
987654342,sunder paal,60558,43120,17438,4342
987654342,sunder paal,47413,30990,16423,4342
987654342,sunder paal,51439,41500,9939,4342
987654342,sunder paal,32695,22920,9775,4342
987654342,sunder paal,49294,12470,36824,4342
987654342,sunder paal,59447,46310,13137,4342
987654342,sunder paal,70370,64010,6360,4342
987654342,sunder paal,66256,39960,26296,4342
987654342,sunder paal,81865,53570,28295,4342
987654342,sunder paal,31199,13680,17519,4342
987654342,sunder paal,44542,17580,26962,4342
987654342,sunder paal,48348,29050,19298,4342
987654342,sunder paal,54860,29330,25530,4342
987654342,sunder paal,45356,44700,656,4342
987654342,sunder paal,44267,17630,26637,4342
987654342,sunder paal,34675,23840,10835,4342
987654342,sunder paal,59931,23930,36001,4342
987654342,sunder paal,61350,16140,45210,4342
987654342,sunder paal,76431,46590,29841,4342
987654342,sunder paal,70128,53210,16918,4342
987654342,sunder paal,87310,25440,61870,4342
987654343,maansingh aswal,29648,21710,7938,4343
987654343,maansingh aswal,60657,46390,14267,4343
987654343,maansingh aswal,69072,24010,45062,4343
987654343,maansingh aswal,44894,15640,29254,4343
987654343,maansingh aswal,42529,30670,11859,4343
987654343,maansingh aswal,27767,20300,7467,4343
987654343,maansingh aswal,49844,21800,28044,4343
987654343,maansingh aswal,55245,45220,10025,4343
987654343,maansingh aswal,64936,27070,37866,4343
987654343,maansingh aswal,60030,21530,38500,4343
987654343,maansingh aswal,71998,48590,23408,4343
987654343,maansingh aswal,26931,17160,9771,4343
987654343,maansingh aswal,45125,31530,13595,4343
987654343,maansingh aswal,43926,40380,3546,4343
987654343,maansingh aswal,55465,35520,19945,4343
987654343,maansingh aswal,39504,13480,26024,4343
987654343,maansingh aswal,49888,47440,2448,4343
987654343,maansingh aswal,32134,15050,17084,4343
987654343,maansingh aswal,54233,30230,24003,4343
987654343,maansingh aswal,54772,36700,18072,4343
987654343,maansingh aswal,77146,71870,5276,4343
987654343,maansingh aswal,69182,35010,34172,4343
987654343,maansingh aswal,81128,45100,36028,4343
987654343,maansingh aswal,29648,15230,14418,4343
987654344,rohit,51461,21650,29811,4344
987654344,rohit,29296,26580,2716,4344
987654344,rohit,57698,40990,16708,4344
987654344,rohit,42210,35960,6250,4344
987654344,rohit,61790,25000,36790,4344
987654344,rohit,37788,26000,11788,4344
987654344,rohit,53694,40710,12984,4344
987654344,rohit,63825,42220,21605,4344
987654344,rohit,73868,35230,38638,4344
987654344,rohit,70337,67310,3027,4344
987654344,rohit,74902,64180,10722,4344
987654344,rohit,29241,29200,41,4344
987654344,rohit,43519,32740,10779,4344
987654344,rohit,42320,20850,21470,4344
987654344,rohit,50394,45190,5204,4344
987654344,rohit,42133,13300,28833,4344
987654344,rohit,42287,18130,24157,4344
987654344,rohit,31331,19960,11371,4344
987654344,rohit,54574,38390,16184,4344
987654344,rohit,61218,51930,9288,4344
987654344,rohit,71987,21820,50167,4344
987654344,rohit,72438,33000,39438,4344
987654344,rohit,77135,29930,47205,4344
987654344,rohit,28020,23270,4750,4344
987654345,rohit,41803,11670,30133,4345
987654345,rohit,41704,30310,11394,4345
987654345,rohit,51879,20760,31119,4345
987654345,rohit,46269,14320,31949,4345
987654345,rohit,47435,27110,20325,4345
987654345,rohit,30913,12660,18253,4345
987654345,rohit,69160,20670,48490,4345
987654345,rohit,60877,38630,22247,4345
987654345,rohit,71294,29590,41704,4345
987654345,rohit,71899,27810,44089,4345
987654345,rohit,82063,40660,41403,4345
987654345,rohit,28086,21780,6306,4345
987654345,rohit,40252,11520,28732,4345
987654345,rohit,44058,43690,368,4345
987654345,rohit,48469,30780,17689,4345
987654345,rohit,42914,40280,2634,4345
987654345,rohit,41297,10760,30537,4345
987654345,rohit,30121,9070,21051,4345
987654345,rohit,53925,40810,13115,4345
987654345,rohit,57126,32010,25116,4345
987654345,rohit,79599,65950,13649,4345
987654345,rohit,67774,55650,12124,4345
987654345,rohit,71778,28920,42858,4345
987654345,rohit,28944,24800,4144,4345
987654346,sparsh,39141,27100,12041,4346
987654346,sparsh,43519,40760,2759,4346
987654346,sparsh,49217,19900,29317,4346
987654346,sparsh,37854,20680,17174,4346
987654346,sparsh,44806,17460,27346,4346
987654346,sparsh,29131,11310,17821,4346
987654346,sparsh,52616,51990,626,4346
987654346,sparsh,62120,43850,18270,4346
987654346,sparsh,91325,57460,33865,4346
987654346,sparsh,74902,57320,17582,4346
987654346,sparsh,79819,31970,47849,4346
987654346,sparsh,22729,11170,11559,4346
987654346,sparsh,37931,31510,6421,4346
987654346,sparsh,38921,13260,25661,4346
987654346,sparsh,47182,16270,30912,4346
987654346,sparsh,41066,11250,29816,4346
987654346,sparsh,40318,27330,12988,4346
987654346,sparsh,29450,12050,17400,4346
987654346,sparsh,53815,30930,22885,4346
987654346,sparsh,65057,23160,41897,4346
987654346,sparsh,68489,35410,33079,4346
987654346,sparsh,73450,29630,43820,4346
987654346,sparsh,93888,43710,50178,4346
987654346,sparsh,31298,24370,6928,4346
987654347,santosh,50735,30990,19745,4347
987654347,santosh,52572,15780,36792,4347
987654347,santosh,57764,35400,22364,4347
987654347,santosh,50680,38520,12160,4347
987654347,santosh,49140,12730,36410,4347
987654347,santosh,49624,34400,15224,4347
987654347,santosh,58248,50040,8208,4347
987654347,santosh,64100,21690,42410,4347
987654347,santosh,71877,60500,11377,4347
987654347,santosh,64562,60910,3652,4347
987654347,santosh,69776,31510,38266,4347
987654347,santosh,40637,37570,3067,4347
987654347,santosh,57951,15060,42891,4347
987654347,santosh,52781,27960,24821,4347
987654347,santosh,53639,44360,9279,4347
987654347,santosh,43211,27630,15581,4347
987654347,santosh,48348,30590,17758,4347
987654347,santosh,28306,18450,9856,4347
987654347,santosh,58743,55010,3733,4347
987654347,santosh,51593,37890,13703,4347
987654347,santosh,62868,20360,42508,4347
987654347,santosh,58479,28500,29979,4347
987654347,santosh,79929,50030,29899,4347
987654347,santosh,30044,17290,12754,4347
987654348,santosh,48887,41550,7337,4348
987654348,santosh,41473,17460,24013,4348
987654348,santosh,51098,35980,15118,4348
987654348,santosh,46643,11910,34733,4348
