account number,SYMBOL,Invest to,,,,FACTOR
987654358,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654359,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654360,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654361,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654362,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654363,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654364,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654365,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654366,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654367,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654368,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654369,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654370,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654371,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654372,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654373,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654374,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654375,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654376,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654377,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654378,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654379,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654380,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654381,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654382,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654383,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654384,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654385,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654386,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654387,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654388,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654389,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654390,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654391,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654392,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654393,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654394,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654395,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654396,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654397,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654398,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654399,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654400,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654401,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654402,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654403,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654404,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654405,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654406,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654407,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654408,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654409,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654410,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654411,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654412,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654413,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654414,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654415,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654416,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654417,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654418,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654419,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654420,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654421,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654422,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654423,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654424,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654425,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654426,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654427,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654428,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654429,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654430,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654431,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654432,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654433,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654434,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654435,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654436,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654437,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654438,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654439,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654440,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654441,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654442,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654443,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654444,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654445,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654446,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654447,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654448,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654449,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654450,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654451,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654452,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654453,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654454,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654455,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654456,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654457,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654458,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654459,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654460,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654461,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654462,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654463,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654464,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654465,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654466,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654467,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654468,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654469,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654470,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654471,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654472,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654473,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654474,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654475,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654476,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654477,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654478,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654479,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654480,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654481,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654482,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654483,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654484,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654485,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654486,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654487,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654488,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654489,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654490,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654491,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654492,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654493,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654494,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654495,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654496,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654497,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654498,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654499,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654500,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654501,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654502,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654503,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654504,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654505,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654506,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654507,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654508,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654509,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654510,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654511,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654512,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654513,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654514,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654515,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654516,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654517,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654518,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654519,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654520,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654521,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654522,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654523,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654524,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654525,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654526,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654527,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654528,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654529,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654530,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654531,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654532,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654533,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654534,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654535,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654536,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654537,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654538,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654539,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654540,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654541,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654542,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654543,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654544,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654545,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654546,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654547,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654548,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654549,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654550,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654551,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654552,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654553,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654554,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654555,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654556,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654557,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654558,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654559,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654560,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654561,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654562,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654563,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654564,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654565,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654566,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654567,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654568,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654569,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654570,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654571,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654572,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654573,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654574,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654575,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654576,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654577,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654578,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654579,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654580,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654581,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654582,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654583,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654584,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
